organizationId,eventId,zone,date,startTime,endTime,vehicleFamily,phase,capacity
# organizationId RX  : e69d60bd-9335-47e3-b998-5c134e20de11
# eventId CYF 2026   : 13f93542-73bf-40f6-bc4a-66335de47184  (Cannes Yachting Festival 2026)
# startDate          : 2026-05-28 / endDate : 2026-09-12
#
# Zones : LA_BOCCA, PALM_BEACH
# vehicleFamily : LIGHT (VL/fourgons) | HEAVY (porteur, semi-remorque)
# phase         : MONTAGE | DEMONTAGE
# capacity      : entier > 0
#
# ─── Créneaux MONTAGE (13 mai 2026 — pré-événement) ──────────────────────────
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-13,07:00,09:00,LIGHT,MONTAGE,10
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-13,09:00,11:00,LIGHT,MONTAGE,10
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-13,11:00,13:00,LIGHT,MONTAGE,8
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-13,07:00,09:00,HEAVY,MONTAGE,4
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-13,09:00,11:00,HEAVY,MONTAGE,4
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,PALM_BEACH,2026-05-13,07:00,10:00,LIGHT,MONTAGE,15
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,PALM_BEACH,2026-05-13,10:00,13:00,LIGHT,MONTAGE,15
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,PALM_BEACH,2026-05-13,07:00,10:00,HEAVY,MONTAGE,6
# ─── Créneaux DEMONTAGE (24 mai 2026 — post-montage) ─────────────────────────
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-24,07:00,09:00,LIGHT,DEMONTAGE,10
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-24,09:00,11:00,LIGHT,DEMONTAGE,10
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,LA_BOCCA,2026-05-24,07:00,09:00,HEAVY,DEMONTAGE,5
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,PALM_BEACH,2026-05-24,08:00,12:00,LIGHT,DEMONTAGE,12
e69d60bd-9335-47e3-b998-5c134e20de11,13f93542-73bf-40f6-bc4a-66335de47184,PALM_BEACH,2026-05-24,08:00,12:00,HEAVY,DEMONTAGE,4
